Experiment,Dataset,Entries,Time(us)
stlsort,input_partial_18.txt,4500,717
stlsort,input_partial_19.txt,4750,903
stlsort,input_partial_20.txt,5000,1062
stlsort,input_semi_1.txt,250,40
stlsort,input_semi_2.txt,500,103
stlsort,input_semi_3.txt,750,159
stlsort,input_semi_4.txt,1000,217
stlsort,input_semi_5.txt,1250,292
stlsort,input_semi_6.txt,1500,295
stlsort,input_semi_7.txt,1750,376
stlsort,input_semi_8.txt,2000,430
stlsort,input_semi_9.txt,2250,480
stlsort,input_semi_10.txt,2500,549
stlsort,input_semi_11.txt,2750,631
stlsort,input_semi_12.txt,3000,687
stlsort,input_semi_13.txt,3250,1261
stlsort,input_semi_14.txt,3500,820
stlsort,input_semi_15.txt,3750,929
stlsort,input_semi_16.txt,4000,944
stlsort,input_semi_17.txt,4250,1002
stlsort,input_semi_18.txt,4500,1105
stlsort,input_semi_19.txt,4750,1117
stlsort,input_semi_20.txt,5000,1181
stlsort,input_backsorted_1.txt,250,19
stlsort,input_backsorted_2.txt,500,38
stlsort,input_backsorted_3.txt,750,62
stlsort,input_backsorted_4.txt,1000,98
stlsort,input_backsorted_5.txt,1250,143
stlsort,input_backsorted_6.txt,1500,134
stlsort,input_backsorted_7.txt,1750,154
stlsort,input_backsorted_8.txt,2000,213
stlsort,input_backsorted_9.txt,2250,220
stlsort,input_backsorted_10.txt,2500,238
stlsort,input_backsorted_11.txt,2750,279
stlsort,input_backsorted_12.txt,3000,360
stlsort,input_backsorted_13.txt,3250,323
stlsort,input_backsorted_14.txt,3500,341
stlsort,input_backsorted_15.txt,3750,370
stlsort,input_backsorted_16.txt,4000,385
stlsort,input_backsorted_17.txt,4250,470
stlsort,input_backsorted_18.txt,4500,493
stlsort,input_backsorted_19.txt,4750,532
stlsort,input_backsorted_20.txt,5000,589
